anemometer_rpm,time,altitude
37,1479753189,9.026717756
36,1479753249,9.137767139
35,1479753309,9.22524677
29,1479753369,9.275665454
22,1479753429,9.620498431
36,1479753489,9.504299359
39,1479753550,9.644487164
35,1479753610,9.461900694
33,1479753670,9.457456557
40,1479753730,9.626043267
36,1479753790,9.791280733
42,1479753850,9.91158546
40,1479753910,9.628461317
43,1479753970,9.366131208
46,1479754030,10.73225948
39,1479754090,15.61190777
37,1479754150,336.4755792
40,1479754210,654.3549279
49,1479754270,993.0582462
38,1479754330,1332.485582
39,1479754390,1680.636643
44,1479754450,2005.430962
48,1479754510,2339.002391
49,1479754570,2678.147876
48,1479754630,3026.028057
43,1479754690,3371.908598
45,1479754750,3685.463619
58,1479754810,4001.144522
51,1479754870,4359.492014
64,1479754930,4727.240026
59,1479754990,5067.418819
59,1479755051,5417.482221
69,1479755111,5726.755109
88,1479755171,6041.300575
76,1479755231,6402.87616
100,1479755291,6727.482891
89,1479755351,7031.857427
115,1479755411,7378.231688
124,1479755471,7690.192749
135,1479755531,7986.808461
132,1479755591,8289.33608
142,1479755651,8578.98821
153,1479755711,8881.441248
215,1479755771,9184.774288
177,1479755831,9521.902688
201,1479755891,9806.634796
222,1479755951,10091.49583
181,1479756011,10391.8732
226,1479756071,10721.88613
247,1479756131,11021.45067
265,1479756191,11318.88428
253,1479756251,11630.80851
313,1479756311,11961.33241
298,1479756371,12292.71816
328,1479756431,12627.67458
318,1479756491,12867.04978
358,1479756552,13103.30252
347,1479756612,13400.42985
340,1479756672,13699.82778
419,1479756732,14077.96747
409,1479756792,14408.49989
381,1479756852,14809.94379
405,1479756912,15185.65685
447,1479756972,15559.61887
414,1479757032,15957.33375
463,1479757092,16333.72336
433,1479757152,16733.70538
472,1479757212,17122.15835
391,1479757272,17483.97312
473,1479757332,17845.9337
465,1479757392,18204.60339
455,1479757452,18481.75568
459,1479757512,18778.50849
490,1479757572,19064.84853
439,1479757632,19358.93635
447,1479757692,19657.39352
449,1479757752,19930.83933
487,1479757812,20234.20722
437,1479757872,20536.96325
462,1479757932,20934.52748
463,1479757992,19510.41182
424,1479758053,18187.76527
416,1479758113,16901.65362
467,1479758173,15761.93964
395,1479758233,14710.59368
379,1479758293,13780.46191
363,1479758353,12942.33627
307,1479758413,12146.28655
286,1479758473,11423.20093
240,1479758533,10706.88557
230,1479758593,10029.73587
215,1479758653,9386.510193
141,1479758713,8758.866855
149,1479758773,8179.774647
99,1479758833,7626.481714
102,1479758893,7102.835428
93,1479758953,6588.781316
102,1479759013,6096.856978
57,1479759073,5600.200691
52,1479759133,5097.184252
44,1479759193,4621.269086
51,1479759253,4160.153348
40,1479759313,3720.36654
108,1479759373,3299.776516
48,1479759433,2865.090222
61,1479759493,2443.94528
42,1479759553,2010.430744
27,1479759613,1575.704264
37,1479759674,1154.791084
30,1479759734,793.4990081
36,1479759794,446.0675001
37,1479759854,338.9436484
43,1479759914,338.3888538
41,1479759974,338.5358416
42,1479760034,338.8304887
29,1479760094,338.9400741
27,1479760154,338.4686502
32,1479760214,338.5246982
40,1479760274,338.3382826
42,1479760334,338.131914
41,1479760394,338.4505436
39,1479760454,338.7095689
41,1479760514,338.494943
37,1479760574,338.739335
43,1479760634,338.6368881
41,1479760694,338.1811667
39,1479760754,338.2281312
40,1479760814,338.100999
45,1479760874,338.1992642
48,1479760934,337.6995539
46,1479760994,337.6889046
47,1479761054,337.8896568
56,1479761114,338.1222436
41,1479761174,337.8907962
52,1479761235,337.7226315
68,1479761295,337.7002957
44,1479761355,337.828812
51,1479761415,337.8357774
68,1479761475,337.9694588
111,1479761535,337.7829697
69,1479761595,338.0469774
71,1479761655,337.7165241
74,1479761715,337.857092
86,1479761775,337.8039915
70,1479761835,337.4394499
71,1479761895,337.4262149
96,1479761955,337.3912033
74,1479762015,337.4281252
58,1479762075,337.5336736
62,1479762135,337.4355904
80,1479762195,337.4132828
52,1479762255,337.3708474
61,1479762315,337.5946742
65,1479762375,337.2545649
103,1479762435,337.1055602
54,1479762495,337.2021121
65,1479762555,337.0857565
66,1479762616,336.7902444
104,1479762676,333.7381436
63,1479762736,336.6005188
70,1479762796,337.0574494
84,1479762856,337.211175
110,1479762916,336.24503
86,1479762976,336.8298283
73,1479763036,336.8968937
69,1479763096,336.9554665
105,1479763156,336.4004102
71,1479763216,336.6078706
80,1479763276,337.2445837
67,1479763336,336.9134074
120,1479763396,335.2773292
72,1479763456,336.9979527
76,1479763516,337.722604
108,1479763576,337.1967321
147,1479763636,337.1765832
110,1479763696,336.9019835
100,1479763756,337.2009073
120,1479763816,337.3112939
160,1479763876,337.5525591
82,1479763937,336.9427768
139,1479763997,336.9498286
153,1479764057,336.9717738
217,1479764117,333.9440117
142,1479764177,336.7338228
162,1479764237,336.3768882
147,1479764297,335.733212
220,1479764357,336.3881669
259,1479764417,335.927111
202,1479764477,335.7350446
180,1479764537,335.5415579
275,1479764597,335.6874968
197,1479764657,335.3453715
159,1479764717,335.0040274
133,1479764777,335.4838474
217,1479764837,336.0481342
168,1479764897,335.2264695
143,1479764957,335.4121615
92,1479765017,335.1287462
150,1479765077,332.7091218
107,1479765138,335.1129899
127,1479765198,335.0450327
106,1479765258,335.034528
171,1479765318,334.9021061
105,1479765378,335.3096752
108,1479765438,334.8416591
125,1479765498,335.0601565
174,1479765558,335.1544911
153,1479765618,335.4026045
169,1479765678,335.4589164
135,1479765738,335.5746411
177,1479765798,335.6748293
190,1479765858,336.1579646
212,1479765918,335.6258906
159,1479765978,335.3577865
172,1479766038,335.3784455
106,1479766098,335.1805802
111,1479766158,335.3788309
97,1479766218,334.6340586
171,1479766278,335.0615459
171,1479766338,335.2777345
174,1479766399,335.0432087
118,1479766459,335.2816973
211,1479766519,335.2962777
139,1479766579,335.1642638
177,1479766639,335.0026561
179,1479766699,334.8313809
239,1479766759,334.946874
143,1479766819,334.7731909
146,1479766879,335.1053372
132,1479766939,335.4421237
179,1479766999,335.407722
223,1479767059,335.4552229
285,1479767119,335.2315249
196,1479767179,334.7236671
252,1479767239,334.7872269
174,1479767299,334.5669725
311,1479767359,334.0803096
243,1479767419,334.5294121
283,1479767479,334.2706488
375,1479767539,334.4906603
161,1479767599,334.4551218
347,1479767660,334.634721
412,1479767720,334.2723659
373,1479767780,334.0278101
390,1479767840,333.8133784
346,1479767900,333.6834737
331,1479767960,333.4575956
298,1479768020,333.0387702
335,1479768080,333.0849433
246,1479768140,332.8494032
327,1479768200,332.6189398
270,1479768260,332.4064838
234,1479768320,332.0631303
320,1479768380,332.4586895
362,1479768440,332.3363097
264,1479768500,332.0598379
320,1479768560,332.192914
242,1479768620,332.5345834
387,1479768680,332.595447
223,1479768740,332.3328555
324,1479768800,332.0180558
280,1479768861,332.188008
171,1479768921,332.0394951
139,1479768981,332.0493474
167,1479769041,331.8395142
164,1479769101,331.7829769
351,1479769161,331.9102818
208,1479769221,331.9670796
264,1479769281,332.2687062
220,1479769341,332.3719029
212,1479769401,332.0069108
400,1479769461,332.1277833
257,1479769521,332.0238794
242,1479769581,332.1375161
218,1479769641,332.0750941
157,1479769701,332.2367791
163,1479769761,332.6359937
157,1479769821,332.1566824
379,1479769881,332.0973317
372,1479769941,331.868035
300,1479770001,331.7202646
165,1479770062,331.8619328
265,1479770122,331.7900905
154,1479770182,331.9485122
294,1479770242,331.799786
177,1479770302,331.9131751
241,1479770362,332.1288868
187,1479770422,332.2324236
180,1479770482,332.2467314
165,1479770542,332.4513501
275,1479770602,332.9070826
164,1479770662,332.9797352
287,1479770722,332.9321279
206,1479770782,333.4300924
266,1479770842,333.3742629
195,1479770902,333.5859758
289,1479770962,333.8108029
185,1479771022,334.4093667
266,1479771082,334.2351076
326,1479771142,334.8002357
171,1479771202,334.4788735
123,1479771263,334.1749957
166,1479771323,334.3219271
114,1479771383,334.7197768
148,1479771443,334.5079005
141,1479771503,334.4222581
220,1479771563,334.9165888
189,1479771623,334.9220751
174,1479771683,335.1556371
228,1479771743,335.1885729
168,1479771803,335.2683661
127,1479771863,335.6792724
127,1479771923,335.4055822
148,1479771983,335.1648462
282,1479772043,334.8906656
268,1479772103,334.7164044
224,1479772163,334.3199347
233,1479772223,334.3583272
360,1479772283,333.8339174
244,1479772343,333.6989483
139,1479772403,333.3549988
156,1479772464,333.5973297
430,1479772524,333.8314648
261,1479772584,333.5658906
431,1479772644,333.5874656
409,1479772704,333.7569628
492,1479772764,333.544375
275,1479772824,333.9774485
277,1479772884,333.724435
268,1479772944,334.0992
294,1479773004,334.1117718
260,1479773064,334.239797
379,1479773124,334.1193016
454,1479773184,334.1075221
947,1479773244,333.5816755
